timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
15.626,0.975554,0.238664,0.329123,7483.864746,-11143.480469,15138.351562
15.677,0.966271,0.185321,0.176157,6257.128418,-11921.619141,13024.359375
15.729,1.011655,0.189272,0.327149,6213.315918,-11878.390625,12906.914062
15.78,0.962145,0.270276,0.097207,5468.512207,-11143.480469,10910.367188
15.831,0.978649,0.188284,0.267936,5468.512207,-11100.25,10792.921875
15.882,0.9869,0.261385,0.17517,5468.512207,-9630.429688,9383.59375
15.933,0.998246,0.316705,0.060693,5424.700684,-9587.199219,9266.148438
15.984,0.992058,0.221871,0.17517,4417.023926,-9371.050781,7152.164062
16.035,0.995152,0.333498,0.018257,4373.212402,-9327.820312,7034.71875
16.085,0.993089,0.288057,0.038982,3102.664551,-8333.529297,692.742188
16.135,0.938422,0.277191,-0.012336,3058.852051,-8333.529297,575.296875
16.185,0.995152,0.386842,0.259055,2094.987793,-8333.529297,-5179.460938
16.236,0.977617,0.262373,-0.058719,2051.17627,-8290.300781,-5296.90625
16.286,1.018876,0.455003,-0.248199,517.756348,-8074.149902,-13165.648438
16.336,0.950799,0.289045,-0.111023,473.944336,-8074.149902,-13283.09375
16.387,0.983806,0.349304,-0.188,254.884277,-9371.050781,-17511.078125
16.437,0.97246,0.28213,-0.082404,254.884277,-9371.050781,-17628.523438
16.488,0.944611,0.348316,-0.31728,517.756348,-9371.050781,-20447.179688
16.539,0.97246,0.371036,-0.271884,517.756348,-9327.820312,-20564.625
16.59,0.963177,0.303862,-0.174183,1569.244629,-8333.529297,-21151.84375
16.641,0.941516,0.364121,-0.387348,1525.432129,-8333.529297,-21269.289062
16.693,0.882723,0.251506,-0.211685,517.756348,-8592.910156,-25497.273438
16.745,0.952862,0.368073,-0.354781,473.944336,-8592.910156,-25614.71875
16.796,0.899226,0.274227,-0.337018,-489.919922,-9111.669922,-33483.464844
16.849,0.934296,0.30485,-0.257081,-533.731934,-9111.669922,-33600.90625
16.901,0.885817,0.372024,-0.652818,-2067.151855,-10624.720703,-37828.890625
16.952,0.893038,0.25447,-0.322215,-2067.151855,-10624.720703,-37946.335938
17.003,0.829087,0.307814,-0.604461,-1541.407715,-11921.619141,-43701.09375
17.053,0.916761,0.377951,-0.36169,-1585.219727,-11921.619141,-43818.535156
17.104,0.798143,0.247555,-0.671568,-2067.151855,-12440.380859,-53801.277344
17.155,0.847653,0.390793,-0.464324,-2067.151855,-12440.380859,-54036.164062
17.205,0.725941,0.211005,-0.516629,-2067.151855,-13953.429688,-70595.765625
17.257,0.742445,0.349304,-0.593605,-2067.151855,-13910.199219,-70713.210938
17.308,0.725941,0.279166,-0.721899,-1015.663574,-13218.519531,-79991.289062
17.359,0.778546,0.348316,-0.581763,-1015.663574,-13175.289062,-80108.734375
17.411,0.736256,0.338437,-0.770256,-752.791504,-12181,-82222.726562
17.463,0.745539,0.288057,-0.558078,-796.603516,-12181,-82340.171875
17.514,0.680557,0.233725,-0.649857,-1015.663574,-12699.759766,-83632.054688
17.565,0.735224,0.386842,-0.830455,-1015.663574,-12699.759766,-83749.5
17.616,0.691903,0.267312,-0.565973,517.756348,-12959.140625,-86568.15625
