timestamp(ms),Mag_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,
"73.973","-87155.375","-0.141516","-0.562481","-0.818612","29871.798828","-45770.710938",
"74.024","-87155.375","-0.136359","-0.533834","-0.598539","29871.798828","-45770.710938",
"74.076","-84219.273438","-0.089943","-0.620765","-0.879799","30397.541016","-46030.089844",
"74.128","-84219.273438","-0.098195","-0.575324","-0.797888","30353.728516","-46030.089844",
"74.18","-79169.179688","-0.145642","-0.554579","-0.798875","29389.865234","-47067.609375",
"74.231","-79169.179688","-0.161114","-0.567421","-0.68045","29389.865234","-47024.382812",
"74.282","-78347.070312","-0.187932","-0.633607","-0.721899","30397.541016","-46808.230469",
"74.334","-78347.070312","-0.197215","-0.730416","-0.729794","30397.541016","-46808.230469",
"74.385","-76937.742188","-0.170397","-0.634595","-0.653804","31449.029297","-48321.28125",
"74.436","-76937.742188","-0.262197","-0.741282","-0.666634","31449.029297","-48321.28125",
"74.487","-68129.445312","-0.32821","-0.671145","-0.576828","31711.900391","-49099.421875",
"74.537","-68129.445312","-0.337494","-0.706707","-0.645909","31711.900391","-49099.421875",
"74.588","-68129.445312","-0.365343","-0.727452","-0.624198","33026.257812","-49358.800781",
"74.639","-68129.445312","-0.362249","-0.711647","-0.639001","33026.257812","-49358.800781",
"74.69","-65193.34375","-0.361217","-0.707695","-0.610382","35611.167969","-49618.179688",
"74.741","-65193.34375","-0.375658","-0.774869","-0.634067","35567.355469","-49618.179688",
"74.792","-65193.34375","-0.417947","-0.684975","-0.495904","35348.296875","-49877.5625",
"74.842","-65193.34375","-0.385972","-0.731404","-0.474193","35348.296875","-49877.5625",
"74.893","-61552.578125","-0.40557","-0.716586","-0.516629","35348.296875","-50136.941406",
"74.944","-61552.578125","-0.482929","-0.800553","-0.467285","35348.296875","-50093.710938",
"74.994","-60847.914062","-0.464363","-0.767954","-0.486036","37144.585938","-49618.179688",
"75.045","-60847.914062","-0.476741","-0.784748","-0.455443","37144.585938","-49618.179688",
"75.097","-55680.378906","-0.457143","-0.8618","-0.385375","37144.585938","-50655.699219",
"75.149","-55680.378906","-0.536565","-0.843031","-0.299516","37144.585938","-50612.472656",
"75.2","-50630.289062","-0.492212","-0.80648","-0.279779","37670.332031","-50396.320312",
"75.251","-50630.289062","-0.767612","-0.804505","-0.367611","37670.332031","-50396.320312",
"75.302","-44758.085938","-0.533471","-0.789687","-0.228461","38458.945312","-51174.460938",
"75.353","-44758.085938","-0.536565","-0.777833","-0.258068","38415.136719","-51131.230469",
"75.405","-41821.988281","-0.544817","-0.808456","-0.302477","37933.203125","-50655.699219",
"75.456","-41821.988281","-0.499433","-0.708683","-0.167275","37933.203125","-50655.699219",
