timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,
"65.619","0.553687","-0.086338","0.882759","15808.144531","-12959.140625","44499.359375",
"65.67","0.570191","-0.207844","0.669594","15063.341797","-14472.189453","41680.703125",
"65.721","0.611449","-0.21871","0.840324","15019.529297","-14428.958984","41563.25",
"65.772","0.549562","-0.111034","0.757426","13792.792969","-13996.660156","40976.03125",
"65.822","0.584631","-0.192038","0.753479","13748.980469","-13996.660156","40858.59375",
"65.873","0.664054","-0.186111","0.726833","12478.433594","-16287.849609","37335.265625",
"65.924","0.659928","-0.314531","0.580776","12434.621094","-16287.849609","37335.265625",
"65.975","0.716658","-0.247358","0.654791","10901.201172","-17584.75","38039.9375",
"66.026","0.734193","-0.386644","0.678476","10857.388672","-17541.519531","37922.484375",
"66.077","0.82393","-0.132767","0.444587","9104.908203","-17065.990234","31463.070312",
"66.128","0.863125","-0.303665","0.638014","9061.095703","-17065.990234","31345.625",
"66.179","0.787829","-0.219698","0.431758","5731.384277","-19097.798828","27822.304688",
"66.231","0.903352","-0.308604","0.341952","5687.572754","-19054.570312","27704.859375",
"66.282","0.93739","-0.236491","0.371558","4154.151855","-18838.419922","17722.117188",
"66.334","1.018876","-0.277981","0.23537","4110.340332","-18838.419922","17604.679688",
"66.385","1.040536","-0.335276","0.17517","1832.116699","-19875.939453","9618.484375",
"66.436","0.976586","-0.212783","0.125827","1788.304199","-19875.939453","9383.59375",
"66.487","0.973491","-0.319471","-0.039968","-489.919922","-21172.839844","-4122.460938",
"66.539","0.985869","-0.249333","-0.090299","-533.731934","-21172.839844","-4357.351562",
"66.591","1.01475","-0.294774","-0.191947","-2592.895996","-22167.128906","-17276.195312",
"66.644","0.959051","-0.294774","-0.258068","-2636.70752","-22167.128906","-17393.632812",
"66.696","0.985869","-0.286871","-0.139643","-3118.639648","-22685.888672","-26789.15625",
"66.747","0.906447","-0.274029","-0.455443","-3162.45166","-22685.888672","-26906.601562",
