timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739557827.261",,,,,"-29",,
"1739557827.263",,,,,,"986",
"1739557827.269","-0.006",,,,,,
"1739557827.271",,"0.014",,,,,
"1739557827.272",,,"0.998",,,,
"1739557827.274",,,,"-7",,,
"1739557827.275",,,,,"-28",,
"1739557827.277",,,,,,"1001",
"1739557827.283","-0.006",,,,,,
"1739557827.285",,"0.014",,,,,
"1739557827.286",,,"0.999",,,,
"1739557827.288",,,,"-6",,,
"1739557827.289",,,,,"-18",,
"1739557827.291",,,,,,"996",
"1739557827.298","-0.006",,,,,,
"1739557827.3",,"0.014",,,,,
"1739557827.301",,,"0.999",,,,
"1739557827.303",,,,"-13",,,
"1739557827.304",,,,,"-17",,
"1739557827.306",,,,,,"987",
"1739557827.312","-0.006",,,,,,
"1739557827.314",,"0.014",,,,,
"1739557827.315",,,"0.999",,,,
"1739557827.317",,,,"-13",,,
"1739557827.319",,,,,"-18",,
"1739557827.32",,,,,,"983",
"1739557827.327","-0.006",,,,,,
"1739557827.328",,"0.015",,,,,
"1739557827.33",,,"0.998",,,,
"1739557827.331",,,,"-10",,,
"1739557827.333",,,,,"-22",,
"1739557827.334",,,,,,"987",
"1739557827.342","-0.006",,,,,,
"1739557827.343",,"0.015",,,,,
"1739557827.344",,,"0.998",,,,
"1739557827.346",,,,"-13",,,
"1739557827.347",,,,,"-28",,
"1739557827.349",,,,,,"981",
"1739557827.355","-0.006",,,,,,
"1739557827.357",,"0.015",,,,,
"1739557827.358",,,"0.998",,,,
"1739557827.36",,,,"-15",,,
"1739557827.361",,,,,"-21",,
"1739557827.363",,,,,,"986",
"1739557827.37","-0.007",,,,,,
"1739557827.372",,"0.015",,,,,
"1739557827.373",,,"0.998",,,,
"1739557827.375",,,,"-21",,,
"1739557827.377",,,,,"-17",,
"1739557827.378",,,,,,"989",
"1739557827.384","-0.007",,,,,,
"1739557827.386",,"0.016",,,,,
"1739557827.387",,,"0.999",,,,
"1739557827.389",,,,"-16",,,
"1739557827.391",,,,,"-16",,
"1739557827.392",,,,,,"990",
"1739557827.399","-0.007",,,,,,
"1739557827.4",,"0.017",,,,,
"1739557827.402",,,"1",,,,
"1739557827.403",,,,"-12",,,
"1739557827.405",,,,,"-22",,
"1739557827.406",,,,,,"990",
"1739557827.414","-0.007",,,,,,
"1739557827.415",,"0.017",,,,,
"1739557827.417",,,"0.999",,,,
"1739557827.418",,,,"-10",,,
"1739557827.42",,,,,"-26",,
"1739557827.421",,,,,,"989",
"1739557827.428","-0.008",,,,,,
"1739557827.429",,"0.016",,,,,
"1739557827.431",,,"0.997",,,,
"1739557827.432",,,,"-15",,,
"1739557827.434",,,,,"-23",,
"1739557827.436",,,,,,"983",
"1739557827.442","-0.008",,,,,,
"1739557827.444",,"0.016",,,,,
"1739557827.445",,,"0.997",,,,
"1739557827.447",,,,"-12",,,
"1739557827.448",,,,,"-16",,
"1739557827.45",,,,,,"986",
"1739557827.457","-0.008",,,,,,
"1739557827.458",,"0.016",,,,,
"1739557827.46",,,"0.998",,,,
"1739557827.461",,,,"-16",,,
